home_off_pass_ypg,home_def_pass_ypg,home_off_rush_ypg,home_def_rush_ypg,home_off_ppg,home_def_ppg,home_win_pct,away_off_pass_ypg,away_def_pass_ypg,away_off_rush_ypg,away_def_rush_ypg,away_off_ppg,away_def_ppg,away_win_pct,played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season,fk
193.33333333333334,307.3333333333333,100.33333333333333,42.666666666666664,25,22.333333333333332,0.6666666666666666,288.5,262.25,93.75,84,18.25,21.25,0.5,True,Packers,Giants,GB,NYG,23,16,home,39,259,178,147,43,5,2016,Packers_Giants_5_2016
236.5,169.5,105.75,113.75,27.75,16,1,354.25,317,124.5,102.25,38,31,0.75,True,Broncos,Falcons,DEN,ATL,16,23,away,39,183,250,84,122,5,2016,Broncos_Falcons_5_2016
192.25,275,76.75,104.5,15.75,19,0.75,183.75,260.5,123.25,96,21.75,17,0.5,True,Rams,Bills,LA,BUF,19,30,away,49,243,112,102,193,5,2016,Rams_Bills_5_2016
252,176,94.25,80,21,18,0.75,287,280.5,93,133,24.75,28,0.5,True,Ravens,Redskins,BAL,WAS,10,16,away,26,188,250,118,60,5,2016,Ravens_Redskins_5_2016
283.75,271.75,92.25,114.5,23.75,25.5,0.25,250.33333333333334,203.33333333333334,119.33333333333333,71,30.666666666666668,9,1,True,Lions,Eagles,DET,PHI,24,23,home,47,164,230,80,116,5,2016,Lions_Eagles_5_2016
264.75,257.5,121.75,90.25,27.25,29.5,0.25,258.5,258.5,82.5,95.75,19.25,32,0.25,True,Panthers,Buccaneers,CAR,TB,14,17,away,31,278,202,136,113,5,2016,Panthers_Buccaneers_5_2016
261.25,277,88,105.75,27,31.25,0.25,252.75,210,82.25,123.5,15.5,24.25,0.25,True,Colts,Bears,IND,CHI,29,23,home,52,298,397,98,125,5,2016,Colts_Bears_5_2016
265.5,325.5,126.75,134.5,27,26.5,0.75,265.75,289.5,95,82,30.25,27,0.25,True,Raiders,Chargers,OAK,SD,34,31,home,65,300,351,89,72,5,2016,Raiders_Chargers_5_2016
246.75,263.5,149,94.75,25.25,19.25,0.75,291,225.25,80.75,97.5,19.5,20.5,0.5,True,Cowboys,Bengals,DAL,CIN,28,14,home,42,222,249,180,96,5,2016,Cowboys_Bengals_5_2016
178.75,249.5,114,140.5,22.5,26.75,0.25,281.25,203.5,100.75,110,23,20,0.25,True,49ers,Cardinals,SF,ARI,21,33,away,54,135,116,151,172,5,2016,49ers_Cardinals_5_2016
222,259.75,149.25,118.25,18.5,28.75,0,210.75,264.5,135.5,101.25,20.25,15.25,0.75,True,Browns,Patriots,CLE,NE,13,33,away,46,235,403,27,98,5,2016,Browns_Patriots_5_2016
252,272,77.75,129.75,17.75,22.25,0.25,221,240.75,127,110,15.5,21,0.25,True,Dolphins,Titans,MIA,TEN,17,30,away,47,149,163,51,235,5,2016,Dolphins_Titans_5_2016
264.5,183.75,93,80.25,19.75,13.5,0.75,333.4,290.2,124,98.6,35,28,0.8,True,Seahawks,Falcons,SEA,ATL,26,24,home,50,261,310,72,52,6,2016,Seahawks_Falcons_6_2016
266.4,261.6,83.6,96.6,17.8,21.6,0.4,239.2,190.8,99,76,18.8,17.6,0.6,True,Giants,Ravens,NYG,BAL,27,23,home,50,397,293,38,98,6,2016,Giants_Ravens_6_2016
259.8,263.4,89.8,114.8,23.8,25,0.4,202.4,242.4,81.8,122.2,16.4,21.2,0.6,True,Lions,Rams,DET,LA,31,28,home,59,265,311,83,76,6,2016,Lions_Rams_6_2016
281.6,227.6,90.8,118.4,17,25.2,0.2,245.5,198.75,75.25,105.75,21,27.75,0.25,True,Bears,Jaguars,CHI,JAC,16,17,away,33,297,263,92,54,6,2016,Bears_Jaguars_6_2016
231.4,250.2,72.4,150.8,17.6,23.8,0.2,284.8,302,102,77,27.8,18.6,0.8,True,Dolphins,Steelers,MIA,PIT,30,15,home,45,252,169,222,128,6,2016,Dolphins_Steelers_6_2016
272.4,330.6,119.2,122,28.4,27.4,0.8,248.25,240.5,90.25,129.5,20.75,23,0.5,True,Raiders,Chiefs,OAK,KC,10,26,away,36,221,223,64,183,6,2016,Raiders_Chiefs_6_2016
304.25,301.25,81.75,121.5,28.5,32.5,0.25,267.4,246.4,124.6,94.8,24.6,27,0.2,True,Saints,Panthers,NO,CAR,41,38,home,79,460,303,63,103,6,2016,Saints_Panthers_6_2016
279.6,262,86.4,130,23,24.4,0.6,245.25,193.5,118.5,73.25,28.75,12.75,0.75,True,Redskins,Eagles,WAS,PHI,27,20,home,47,263,145,230,94,6,2016,Redskins_Eagles_6_2016
169.4,257,137.2,97.2,23.4,17.4,0.6,170,222.8,121.4,146.8,22.2,28,0.2,True,Bills,49ers,BUF,SF,45,16,home,61,179,167,313,133,6,2016,Bills_49ers_6_2016
208.6,181,101.8,119.4,16.4,20.8,0.6,268.6,301,90,109.6,27.4,29.6,0.4,True,Texans,Colts,HOU,IND,26,23,home,49,256,231,158,161,6,2016,Texans_Colts_6_2016
209.75,275,112,42.75,24.5,20.75,0.75,241.8,260.6,155.2,95,25.8,18.2,0.8,True,Packers,Cowboys,GB,DAL,16,30,away,46,294,233,78,191,6,2016,Packers_Cowboys_6_2016
209.4,222.4,148.6,98.2,18.4,20.2,0.4,224.6,288.4,124.8,114.2,17.4,29.6,0,True,Titans,Browns,TEN,CLE,28,26,home,54,270,301,137,40,6,2016,Titans_Browns_6_2016
