played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season
True,Titans,Broncos,TEN,DEN,13,10,home,23,73,330,180,18,14,2016
True,Chiefs,Raiders,KC,OAK,21,13,home,34,258,109,65,135,14,2016
True,Rams,Falcons,LA,ATL,14,42,away,56,208,220,104,66,14,2016
True,Lions,Bears,DET,CHI,20,17,home,37,209,204,114,92,14,2016
True,49ers,Jets,SF,NYJ,17,23,away,40,116,216,248,188,14,2016
True,Giants,Cowboys,NYG,DAL,10,7,home,17,167,152,93,108,14,2016
True,Bills,Steelers,BUF,PIT,20,27,away,47,208,220,67,240,14,2016
True,Panthers,Chargers,CAR,SD,28,16,home,44,146,220,126,58,14,2016
True,Jaguars,Vikings,JAC,MIN,16,25,away,41,230,292,85,85,14,2016
True,Colts,Texans,IND,HOU,17,22,away,39,265,131,83,185,14,2016
True,Browns,Bengals,CLE,CIN,10,23,away,33,85,147,169,213,14,2016
True,Vikings,Colts,MIN,IND,6,34,away,40,248,250,34,161,15,2016
True,Giants,Lions,NYG,DET,17,6,home,23,186,268,114,56,15,2016
True,Bengals,Steelers,CIN,PIT,20,24,away,44,146,285,76,97,15,2016
True,Seahawks,Rams,SEA,LA,24,3,home,27,227,136,72,47,15,2016
True,Chiefs,Titans,KC,TEN,17,19,away,36,159,241,157,148,15,2016
True,Cardinals,Saints,ARI,NO,41,48,away,89,309,358,116,130,15,2016
True,Redskins,Panthers,WAS,CAR,15,26,away,41,306,290,29,148,15,2016
True,Ravens,Eagles,BAL,PHI,27,26,home,53,189,159,151,169,15,2016
True,Bears,Packers,CHI,GB,27,30,away,57,354,225,95,226,15,2016
True,Texans,Jaguars,HOU,JAC,21,20,home,41,308,83,79,67,15,2016
True,Broncos,Patriots,DEN,NE,3,16,away,19,251,177,58,136,15,2016
True,Falcons,49ers,ATL,SF,41,13,home,54,302,165,248,107,15,2016
True,Chargers,Raiders,SD,OAK,16,19,away,35,190,200,73,145,15,2016
True,Jets,Dolphins,NYJ,MIA,13,34,away,47,244,236,116,67,15,2016
True,Bills,Browns,BUF,CLE,33,13,home,46,171,162,280,107,15,2016
True,Cowboys,Buccaneers,DAL,TB,26,20,home,46,264,224,185,52,15,2016
True,Packers,Vikings,GB,MIN,38,25,home,63,308,353,40,93,16,2016
True,Saints,Buccaneers,NO,TB,31,24,home,55,294,260,123,89,16,2016
True,Panthers,Falcons,CAR,ATL,16,33,away,49,183,256,119,152,16,2016
True,Bears,Redskins,CHI,WAS,21,41,away,62,318,270,140,208,16,2016
True,Jaguars,Titans,JAC,TEN,38,17,home,55,331,205,84,58,16,2016
True,Patriots,Jets,NE,NYJ,41,3,home,44,211,128,114,111,16,2016
True,Eagles,Giants,PHI,NYG,24,19,home,43,168,356,118,114,16,2016
True,Chiefs,Broncos,KC,DEN,33,10,home,43,246,183,238,63,16,2016
True,Steelers,Ravens,PIT,BAL,31,27,home,58,279,246,127,122,16,2016
True,Seahawks,Cardinals,SEA,ARI,31,34,away,65,313,276,78,94,16,2016
True,Rams,49ers,LA,SF,21,22,away,43,78,253,99,70,16,2016
True,Texans,Bengals,HOU,CIN,12,10,home,22,155,244,95,50,16,2016
True,Browns,Chargers,CLE,SD,20,17,home,37,127,322,124,34,16,2016
True,Raiders,Colts,OAK,IND,33,25,home,58,253,288,210,102,16,2016
True,Cowboys,Lions,DAL,DET,42,21,home,63,211,229,164,90,16,2016
True,Bills,Dolphins,BUF,MIA,31,34,away,65,317,233,272,261,16,2016
True,Steelers,Browns,PIT,CLE,27,24,home,51,243,206,69,231,17,2016
True,Vikings,Bears,MIN,CHI,38,10,home,48,250,140,124,183,17,2016
True,Dolphins,Patriots,MIA,NE,14,35,away,49,205,276,75,120,17,2016
True,Bengals,Ravens,CIN,BAL,27,10,home,37,218,263,153,72,17,2016
True,Buccaneers,Panthers,TB,CAR,17,16,home,33,188,207,112,128,17,2016
True,Titans,Texans,TEN,HOU,24,17,home,41,133,243,103,46,17,2016
True,Rams,Cardinals,LA,ARI,6,44,away,50,71,260,52,84,17,2016
True,Redskins,Giants,WAS,NYG,10,19,away,29,246,171,38,161,17,2016
True,Eagles,Cowboys,PHI,DAL,27,13,home,40,232,126,114,69,17,2016
True,Falcons,Saints,ATL,NO,38,32,home,70,323,341,142,132,17,2016
True,Jets,Bills,NYJ,BUF,30,10,home,40,202,162,127,68,17,2016
True,Broncos,Raiders,DEN,OAK,24,6,home,30,206,164,143,57,17,2016
True,Colts,Jaguars,IND,JAC,24,20,home,44,290,288,94,182,17,2016
True,49ers,Seahawks,SF,SEA,23,25,away,48,191,289,62,87,17,2016
True,Chargers,Chiefs,SD,KC,27,37,away,64,269,262,129,103,17,2016
True,Lions,Packers,DET,GB,24,31,away,55,332,295,76,153,17,2016
True,Broncos,Chargers,DEN,LAC,24,21,home,45,181,185,140,64,1,2017
False,Dolphins,Buccaneers,MIA,TB,0,0,0,0,0,0,0,0,1,2017
True,Browns,Steelers,CLE,PIT,18,21,away,39,180,255,57,35,1,2017
True,Bears,Falcons,CHI,ATL,17,23,away,40,176,308,125,64,1,2017
True,Redskins,Eagles,WAS,PHI,17,30,away,47,200,298,64,58,1,2017
True,Bills,Jets,BUF,NYJ,21,12,home,33,218,176,190,38,1,2017
True,Texans,Jaguars,HOU,JAC,7,29,away,36,110,125,93,155,1,2017
True,Cowboys,Giants,DAL,NYG,19,3,home,22,263,198,129,35,1,2017
True,Lions,Cardinals,DET,ARI,35,23,home,58,285,263,82,45,1,2017
True,Patriots,Chiefs,NE,KC,27,42,away,69,247,352,124,185,1,2017
True,Vikings,Saints,MIN,NO,29,19,home,48,341,284,129,60,1,2017
True,Titans,Raiders,TEN,OAK,16,26,away,42,255,250,95,109,1,2017
True,Rams,Colts,LA,IND,46,9,home,55,310,150,63,75,1,2017
